OAMmode,"-4,-2,2,4",Standard deviation
-10,0.00778586213709787,0.000415173697493451
-9,0.00051035756496276,0.000196532411108029
-8,0.00104800406552386,0.000222546744254543
-7,0.000870138454047265,0.000389488066888571
-6,0.0243989343289286,0.000693111739980777
-5,0.00821046606870368,0.00195328207970462
-4,0.211682748049498,0.00379097664519859
-3,0.00352485211624298,0.00114908846838124
-2,0.218913436867297,0.00311439836066963
-1,0.00673747912514955,0.00148155628803723
0,0.0292800589231774,0.0025283383443278
1,0.00454947710386477,0.00117321580761306
2,0.211910594254732,0.0048756087644098
3,0.00158873151258376,0.00113323495011627
4,0.21737882681191,0.00473728560741401
5,0.0236272545298561,0.00273621819145844
6,0.0173789368709549,0.00111463566516614
7,0.00177386825816939,0.000413542821292298
8,0.000800722807980492,0.000195420801608001
9,0.000761261537263636,0.000265731762161704
10,0.0072679759177845,0.000452077920128667
